Designator,Mid X,Mid Y,Rotation,Layer
BT1,61.3,-33.28,180.0,bottom
D1,39.24,-38.12,90.0,top
D2,39.24,-65.67,270.0,top
D3,39.255,-85.15,180.0,top
D4,56.195,-51.75,180.0,top
D5,63.585,-66.95,0.0,top
D6,63.2,-85.34,0.0,top
M1,51.22,-89.72,180.0,top
Q1,51.93,-62.935,0.0,bottom
R1,39.29000046102349,-31.050000556911005,190.0,top
R10,47.42,-71.68,270.0,bottom
R2,39.15,-48.13,270.0,top
R3,38.82,-74.82,270.0,top
R4,47.57000032828331,-53.85000020709428,40.0,top
R5,62.5011005618406,-56.670620398161354,285.0,top
R6,63.42,-75.76,90.0,top
R7,39.47,-57.2,0.0,top
R8,54.62,-71.62,90.0,bottom
R9,51.01,-71.65,90.0,bottom
SW1,51.03,-81.33,0.0,top
